appliance,cluster,cluster_majority,match
COFFEE_MACHINE,6,COFFEE_MACHINE,True
COFFEE_MACHINE,6,COFFEE_MACHINE,True
COOLER_FAN1,10,COOLER_FAN1,True
COOLER_FAN1,10,COOLER_FAN1,True
COOLER_FAN1,10,COOLER_FAN1,True
COOLER_FAN1,10,COOLER_FAN1,True
CPU,13,Laptop,False
CPU,11,(none),False
FLOUROSCENT_LAMP,0,FLOUROSCENT_LAMP,True
FLOUROSCENT_LAMP,0,FLOUROSCENT_LAMP,True
INCENDESCENT_LIGHT,1,INCENDESCENT_LIGHT,True
INCENDESCENT_LIGHT,7,Toaster,False
Laptop,5,TABLE_FAN,False
Laptop,5,TABLE_FAN,False
Laptop,5,TABLE_FAN,False
Monitor,5,TABLE_FAN,False
Monitor,5,TABLE_FAN,False
TABLE_FAN,10,COOLER_FAN1,False
TABLE_FAN,5,TABLE_FAN,True
TABLE_FAN,10,COOLER_FAN1,False
TABLE_FAN,10,COOLER_FAN1,False
WATER_HEATER,6,COFFEE_MACHINE,False
WATER_HEATER,6,COFFEE_MACHINE,False
Foen Stufe 1,14,Foen Stufe 1,True
LED Lampe 6.3 W,8,LED Lampe 6.3 W,True
Leuchtstoffroehre,11,(none),False
Mixer,4,Mixer,True
Toaster,7,Toaster,True
USB Ladegerät,2,(none),False
